regiao,modo,mapa,pick,picks,vitorias,win_rate
EA,gemGrab,Hard Rock Mine,MAX,1,0,0.0%
EA,gemGrab,Hard Rock Mine,NAJIA,1,1,100.0%
EA,gemGrab,Hard Rock Mine,NITA,1,1,100.0%
EA,gemGrab,Hard Rock Mine,OTIS,1,0,0.0%
EA,gemGrab,Hard Rock Mine,R-T,1,1,100.0%
EA,gemGrab,Hard Rock Mine,RICO,1,0,0.0%
EA,gemGrab,Hard Rock Mine,SANDY,1,0,0.0%
EA,gemGrab,Hard Rock Mine,SHADE,1,0,0.0%
EA,gemGrab,Hard Rock Mine,SIRIUS,1,0,0.0%
EA,gemGrab,Hard Rock Mine,SPIKE,1,1,100.0%
EA,gemGrab,Hard Rock Mine,SURGE,2,0,0.0%
EA,heist,Bridge Too Far,8-BIT,3,1,33.3%
EA,heist,Bridge Too Far,ALLI,2,1,50.0%
EA,heist,Bridge Too Far,AMBER,1,0,0.0%
EA,heist,Bridge Too Far,ANGELO,2,1,50.0%
EA,heist,Bridge Too Far,BROCK,2,0,0.0%
EA,heist,Bridge Too Far,CHARLIE,1,1,100.0%
EA,heist,Bridge Too Far,CHESTER,1,0,0.0%
EA,heist,Bridge Too Far,CHUCK,3,2,66.7%
EA,heist,Bridge Too Far,COLETTE,1,0,0.0%
EA,heist,Bridge Too Far,COLT,2,0,0.0%
EA,heist,Bridge Too Far,CORDELIUS,1,1,100.0%
EA,heist,Bridge Too Far,FINX,1,0,0.0%
EA,heist,Bridge Too Far,KAZE,3,2,66.7%
EA,heist,Bridge Too Far,LOLA,3,2,66.7%
EA,heist,Bridge Too Far,LUMI,1,1,100.0%
EA,heist,Bridge Too Far,MELODIE,2,2,100.0%
EA,heist,Bridge Too Far,NAJIA,1,0,0.0%
EA,heist,Bridge Too Far,NANI,1,0,0.0%
EA,heist,Bridge Too Far,OTIS,2,1,50.0%
EA,heist,Bridge Too Far,PIERCE,1,1,100.0%
EA,heist,Bridge Too Far,SHADE,1,1,100.0%
EA,heist,Bridge Too Far,SIRIUS,1,1,100.0%
EA,heist,Hot Potato,BERRY,3,2,66.7%
EA,heist,Hot Potato,BULL,1,1,100.0%
EA,heist,Hot Potato,BUZZ,1,0,0.0%
EA,heist,Hot Potato,CHUCK,4,2,50.0%
EA,heist,Hot Potato,CLANCY,4,2,50.0%
EA,heist,Hot Potato,COLETTE,1,1,100.0%
EA,heist,Hot Potato,COLT,3,1,33.3%
EA,heist,Hot Potato,CROW,2,1,50.0%
EA,heist,Hot Potato,DAMIAN,2,2,100.0%
EA,heist,Hot Potato,DARRYL,2,2,100.0%
EA,heist,Hot Potato,DYNAMIKE,3,2,66.7%
EA,heist,Hot Potato,EDGAR,2,0,0.0%
EA,heist,Hot Potato,EMZ,1,0,0.0%
EA,heist,Hot Potato,GRIFF,1,1,100.0%
EA,heist,Hot Potato,KAZE,2,1,50.0%
EA,heist,Hot Potato,KIT,5,2,40.0%
EA,heist,Hot Potato,LILY,1,1,100.0%
EA,heist,Hot Potato,LUMI,3,1,33.3%
EA,heist,Hot Potato,MELODIE,4,0,0.0%
EA,heist,Hot Potato,NAJIA,1,1,100.0%
EA,heist,Hot Potato,NITA,1,0,0.0%
EA,heist,Hot Potato,OTIS,6,3,50.0%
EA,heist,Hot Potato,RICO,2,0,0.0%
EA,heist,Hot Potato,SHADE,2,2,100.0%
EA,heist,Hot Potato,SIRIUS,1,1,100.0%
EA,heist,Hot Potato,SPIKE,1,0,0.0%
EA,heist,Hot Potato,SPROUT,1,1,100.0%
EA,heist,Kaboom Canyon,BERRY,2,0,0.0%
EA,heist,Kaboom Canyon,BULL,1,0,0.0%
EA,heist,Kaboom Canyon,COLT,1,1,100.0%
EA,heist,Kaboom Canyon,CROW,1,0,0.0%
EA,heist,Kaboom Canyon,EDGAR,1,1,100.0%
EA,heist,Kaboom Canyon,FINX,1,1,100.0%
EA,heist,Kaboom Canyon,GRIFF,1,0,0.0%
EA,heist,Kaboom Canyon,KAZE,1,1,100.0%
EA,heist,Kaboom Canyon,PENNY,1,1,100.0%
EA,heist,Kaboom Canyon,PIERCE,2,1,50.0%
EA,heist,Safe Zone,8-BIT,1,0,0.0%
EA,heist,Safe Zone,AMBER,1,0,0.0%
EA,heist,Safe Zone,BELLE,2,1,50.0%
EA,heist,Safe Zone,BERRY,2,1,50.0%
EA,heist,Safe Zone,BO,1,1,100.0%
EA,heist,Safe Zone,BYRON,1,1,100.0%
EA,heist,Safe Zone,CARL,1,1,100.0%
EA,heist,Safe Zone,CHESTER,1,0,0.0%
EA,heist,Safe Zone,CHUCK,1,0,0.0%
EA,heist,Safe Zone,COLETTE,1,1,100.0%
EA,heist,Safe Zone,COLT,6,6,100.0%
EA,heist,Safe Zone,EDGAR,5,2,40.0%
EA,heist,Safe Zone,FINX,1,0,0.0%
EA,heist,Safe Zone,GLOWY,1,1,100.0%
EA,heist,Safe Zone,KAZE,7,3,42.9%
EA,heist,Safe Zone,LOLA,1,1,100.0%
EA,heist,Safe Zone,LUMI,2,1,50.0%
EA,heist,Safe Zone,MAISIE,1,0,0.0%
EA,heist,Safe Zone,MELODIE,4,2,50.0%
EA,heist,Safe Zone,MICO,1,1,100.0%
EA,heist,Safe Zone,PENNY,7,5,71.4%
EA,heist,Safe Zone,PIERCE,3,1,33.3%
EA,heist,Safe Zone,PIPER,1,0,0.0%
EA,heist,Safe Zone,R-T,1,0,0.0%
EA,heist,Safe Zone,SHADE,3,0,0.0%
EA,hotZone,Dueling Beetles,BEA,2,1,50.0%
EA,hotZone,Dueling Beetles,BERRY,3,0,0.0%
EA,hotZone,Dueling Beetles,BYRON,1,1,100.0%
