id_partida,regiao,id_players,name_players,pick,win,win_rate,modo,mapa,data_adicao																
None_Belle's Rock_#280RJ29R9_#LG8PCJG8_#2YYJYPCL_#PLLRJC2V_#YGQYGCR_#GYCYCLRJL_RUFFS_MANDY_OLLIE_SQUEAK_BELLE_RICO,SA,#280RJ29R9	#LG8PCJG8	#2YYJYPCL	#PLLRJC2V	#YGQYGCR	#GYCYCLRJL,SDL|Kapi	FNRS|Tex	TomzyðŸ‘½	BH|Wesley534	BH|Portox	BH|Prozy,OLLIE,0,0.0%,knockout,Belle's Rock,Antiga						
None_Belle's Rock_#280RJ29R9_#LG8PCJG8_#2YYJYPCL_#PLLRJC2V_#YGQYGCR_#GYCYCLRJL_RUFFS_MANDY_OLLIE_SQUEAK_BELLE_RICO,SA,#280RJ29R9	#LG8PCJG8	#2YYJYPCL	#PLLRJC2V	#YGQYGCR	#GYCYCLRJL,SDL|Kapi	FNRS|Tex	TomzyðŸ‘½	BH|Wesley534	BH|Portox	BH|Prozy,SQUEAK,1,100.0%,knockout,Belle's Rock,Antiga						
None_Belle's Rock_#280RJ29R9_#LG8PCJG8_#2YYJYPCL_#PLLRJC2V_#YGQYGCR_#GYCYCLRJL_RUFFS_MANDY_OLLIE_SQUEAK_BELLE_RICO,SA,#280RJ29R9	#LG8PCJG8	#2YYJYPCL	#PLLRJC2V	#YGQYGCR	#GYCYCLRJL,SDL|Kapi	FNRS|Tex	TomzyðŸ‘½	BH|Wesley534	BH|Portox	BH|Prozy,BELLE,1,100.0%,knockout,Belle's Rock,Antiga						
None_Belle's Rock_#280RJ29R9_#LG8PCJG8_#2YYJYPCL_#PLLRJC2V_#YGQYGCR_#GYCYCLRJL_RUFFS_MANDY_OLLIE_SQUEAK_BELLE_RICO,SA,#280RJ29R9	#LG8PCJG8	#2YYJYPCL	#PLLRJC2V	#YGQYGCR	#GYCYCLRJL,SDL|Kapi	FNRS|Tex	TomzyðŸ‘½	BH|Wesley534	BH|Portox	BH|Prozy,RICO,1,100.0%,knockout,Belle's Rock,Antiga						
None_Belle's Rock_#280RJ29R9_#2YYJYPCL_#LG8PCJG8_#PLLRJC2V_#GYCYCLRJL_#YGQYGCR_OLLIE_MANDY_RUFFS_SQUEAK_RICO_BELLE,SA,#280RJ29R9	#2YYJYPCL	#LG8PCJG8	#PLLRJC2V	#GYCYCLRJL	#YGQYGCR,SDL|Kapi	TomzyðŸ‘½	FNRS|Tex	BH|Wesley534	BH|Prozy	BH|Portox,OLLIE,1,100.0%,knockout,Belle's Rock,Antiga						
None_Belle's Rock_#280RJ29R9_#2YYJYPCL_#LG8PCJG8_#PLLRJC2V_#GYCYCLRJL_#YGQYGCR_OLLIE_MANDY_RUFFS_SQUEAK_RICO_BELLE,SA,#280RJ29R9	#2YYJYPCL	#LG8PCJG8	#PLLRJC2V	#GYCYCLRJL	#YGQYGCR,SDL|Kapi	TomzyðŸ‘½	FNRS|Tex	BH|Wesley534	BH|Prozy	BH|Portox,MANDY,1,100.0%,knockout,Belle's Rock,Antiga						
None_Belle's Rock_#280RJ29R9_#2YYJYPCL_#LG8PCJG8_#PLLRJC2V_#GYCYCLRJL_#YGQYGCR_OLLIE_MANDY_RUFFS_SQUEAK_RICO_BELLE,SA,#280RJ29R9	#2YYJYPCL	#LG8PCJG8	#PLLRJC2V	#GYCYCLRJL	#YGQYGCR,SDL|Kapi	TomzyðŸ‘½	FNRS|Tex	BH|Wesley534	BH|Prozy	BH|Portox,RUFFS,1,100.0%,knockout,Belle's Rock,Antiga						
None_Belle's Rock_#280RJ29R9_#2YYJYPCL_#LG8PCJG8_#PLLRJC2V_#GYCYCLRJL_#YGQYGCR_OLLIE_MANDY_RUFFS_SQUEAK_RICO_BELLE,SA,#280RJ29R9	#2YYJYPCL	#LG8PCJG8	#PLLRJC2V	#GYCYCLRJL	#YGQYGCR,SDL|Kapi	TomzyðŸ‘½	FNRS|Tex	BH|Wesley534	BH|Prozy	BH|Portox,SQUEAK,0,0.0%,knockout,Belle's Rock,Antiga						
None_Belle's Rock_#280RJ29R9_#2YYJYPCL_#LG8PCJG8_#PLLRJC2V_#GYCYCLRJL_#YGQYGCR_OLLIE_MANDY_RUFFS_SQUEAK_RICO_BELLE,SA,#280RJ29R9	#2YYJYPCL	#LG8PCJG8	#PLLRJC2V	#GYCYCLRJL	#YGQYGCR,SDL|Kapi	TomzyðŸ‘½	FNRS|Tex	BH|Wesley534	BH|Prozy	BH|Portox,RICO,0,0.0%,knockout,Belle's Rock,Antiga						
None_Belle's Rock_#280RJ29R9_#2YYJYPCL_#LG8PCJG8_#PLLRJC2V_#GYCYCLRJL_#YGQYGCR_OLLIE_MANDY_RUFFS_SQUEAK_RICO_BELLE,SA,#280RJ29R9	#2YYJYPCL	#LG8PCJG8	#PLLRJC2V	#GYCYCLRJL	#YGQYGCR,SDL|Kapi	TomzyðŸ‘½	FNRS|Tex	BH|Wesley534	BH|Prozy	BH|Portox,BELLE,0,0.0%,knockout,Belle's Rock,Antiga						
